"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"BTBD18"	0.15	0.12	0.15	0.2	0.33	0.12	0.32	0.39	0.16	0.29	-0.16	0.0716395021290265	0.111881794678355	-0.152198492127173
"BTBD19"	2.49	3.37	2.15	1.05	2.32	0.95	1.4	0.95	2.27	1.41	0.44	0.039676301345269	0.0746054983826215	0.495980832200716
"BTBD2"	69.26	70.14	57.02	67.66	59.02	58.52	59	58.08	66.02	58.65	0.17	0.0268769290473437	0.0587927064279059	0.20921501304119
"BTBD3"	11.71	8.85	12.23	13.44	12.66	10.34	16.91	11.82	11.56	12.93	-0.15	0.424273850302801	0.471986335838703	-0.0489105861230277
"BTBD6"	23.72	24.92	28.22	31.5	21.96	25.67	28.74	26.68	27.09	25.76	0.07	0.017139553559004	0.0451934862201143	0.0941446909166585
"BTBD7"	16.07	19.53	15.02	16.06	23.15	25.41	20.39	27.76	16.67	24.18	-0.51	0.00339686791937924	0.0168519663655942	-0.904408202334165
"BTBD8"	6.09	4.43	6.2	5.96	6.12	4.65	7.14	6.47	5.67	6.1	-0.09	0.482725364967208	0.530698698472898	-0.0247636779720435
"BTBD9"	7.01	8.69	8.13	8.78	8.93	8.53	10.32	13.84	8.15	10.41	-0.32	0.0159339834412042	0.0434381018595356	-0.43588133140089
"BTC"	4.87	3.97	1.85	2.31	6.08	5.2	4.92	5.95	3.25	5.54	-0.62	0.00748489497179997	0.0278934258793282	-0.963788848209488
"BTD"	19.88	19.2	18.84	14.87	18.9	23.64	25.75	23.09	18.2	22.84	-0.31	0.0182417065833951	0.0468690722860475	-0.4120252292383
"BTF3"	619.98	560.64	670.02	641.48	519.93	479.9	513.83	510.16	623.03	505.95	0.3	0.00206999092471724	0.012143023685465	0.574701947361952
"BTF3L4"	71.49	68.6	80.45	70.18	67.63	64.42	67.46	63.77	72.68	65.82	0.14	0.0131264992185109	0.0389282203012237	0.197362963092701
"BTG1"	53.27	39.79	47.12	44.18	32.42	30.68	28.05	26.71	46.09	29.46	0.63	2.29654183175189e-05	0.00115656645726148	1.85020252657231
"BTG2"	84.89	107.4	102.28	138.23	112.26	234.87	310.26	135.31	108.2	198.17	-0.87	0.0262219842411764	0.0578775507873617	-1.07661617408159
"BTG3"	104.05	76.29	114.02	93.38	101.03	39.81	54.86	45.63	96.93	60.33	0.68	0.0159879732492659	0.0435234070732439	0.925668438063336
"BTG4"	0.28	0.13	0.07	0.28	0	0	0.21	0.04	0.19	0.06	0.16	1	1	0
"BTK"	0.08	0.01	0.03	0	0.16	0.18	0	0	0.03	0.09	-0.07	1	1	0
"BTLA"	0.03	0	0.1	0.07	0.08	0.35	0.01	0.01	0.05	0.11	-0.08	1	1	0
"BTN1A1"	0.01	0.04	0.03	0.05	0.03	0	0.02	0.04	0.03	0.02	0.01	1	1	0
"BTN2A1"	20.45	24.61	19.31	20.04	22.66	26.97	24.29	25.23	21.1	24.79	-0.22	0.031779711133751	0.0650511566334793	-0.261083894966004
"BTN2A2"	17.3	16.18	17.72	15.61	17.93	9.84	7	8.56	16.7	10.83	0.58	0.0094537930083931	0.0320653328476252	0.866499263618647
"BTN3A1"	47.12	46.57	57.57	49.09	45.31	32.49	44.79	50.02	50.09	43.15	0.21	0.111090888157282	0.155855026701996	0.16952862908365
"BTN3A2"	28.43	45.81	52.13	47.96	29.97	35.84	54.72	58.27	43.58	44.7	-0.04	0.380039246477513	0.427483222523444	-0.0147632370160027
"BTN3A3"	35.71	52.83	38.27	38.16	35	35.78	35.6	46.56	41.24	38.23	0.11	0.675103735254772	0.724387409239521	0.0154032017561877
"BTNL2"	0.05	0	0	0	0	0	0	0	0.01	0	0.02	1	1	0
"BTNL3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"BTNL8"	0.03	0.06	0.14	0.28	0.1	0.04	0	0.07	0.13	0.05	0.1	1	1	0
"BTNL9"	0.35	0.32	0.47	0.55	0.35	0.39	0.39	0.42	0.42	0.38	0.04	0.132150811797242	0.177861089183328	0.0299967620994219
"BTRC"	11.79	11.93	9.32	9.56	13.04	11.25	11.78	11.01	10.65	11.77	-0.13	0.0247376870028474	0.0560579972464412	-0.162677114873153
"BUB1"	1.33	1.11	1.35	2.12	1.69	0.88	1.07	1.12	1.48	1.19	0.18	0.161719922426787	0.20876152368546	0.122462917564429
"BUB1B"	0.35	0.42	0.16	0.32	0.83	0.65	0.6	0.62	0.31	0.67	-0.35	0.0293459962726241	0.0619574558191312	-0.422767248446981
"BUB1B-PAK6"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"BUB3"	50.75	59.17	66.42	64.46	53.88	72.21	73.15	70.95	60.2	67.55	-0.16	0.019023993060276	0.0480015321120546	-0.210999184095933
"BUD13"	10.66	8.84	10.68	10.92	9.38	9.8	9.45	9.69	10.27	9.58	0.09	0.0358173115799416	0.0699854042085603	0.103949327226392
"BUD23"	75.66	88.22	80.4	94.64	71.08	76.23	85.04	69.42	84.73	75.44	0.17	0.0202544381055628	0.0497799408274039	0.221500756074189
"BUD31"	104.52	113.13	115.02	125.14	89.46	85.41	84.63	73.74	114.45	83.31	0.45	0.000260769359430594	0.00332244157221255	1.11534419147996
"BVES"	6.06	4	3.85	4.56	3.76	2.01	1.35	0.76	4.62	1.97	0.92	0.000561024871285762	0.00531274062274567	2.09270687565915
"BYSL"	17.68	17.85	16.68	17.51	20.56	16.39	13.45	14.94	17.43	16.33	0.09	0.0748927120600141	0.115624093161798	0.0843256494364782
"BZW1"	429.15	594.28	377.3	383.8	312.59	302.88	268.15	241.43	446.13	281.26	0.66	0.000828157025013883	0.00674924460344304	1.43269158914985
"BZW2"	63.53	52.25	68.46	66.25	48.13	40.72	51.11	48.94	62.62	47.23	0.4	0.00107741289583515	0.00795139783714527	0.839822606671014
"C10orf105"	0.45	0.23	0.45	0.67	0.21	0.05	0.16	0.04	0.45	0.11	0.38	0.00377082797121663	0.0181427279346619	0.661693016555949
"C10orf120"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C10orf143"	1.55	2.6	3.25	1.93	4.83	5.78	7.08	4.19	2.33	5.47	-0.96	0.000487300916547883	0.00485027255272691	-2.2216645020291
"C10orf53"	0.97	0.48	0.87	0.49	0.77	0.93	0.71	0.45	0.7	0.71	-0.01	0.189896933992381	0.237819357398154	-0.00623752798712049
"C10orf62"	0	0.03	0	0	0	0	0.04	0.04	0.01	0.02	-0.02	1	1	0
"C10orf67"	1.38	1.38	1.25	1.15	0.44	0.78	1.05	0.97	1.29	0.81	0.34	0.011045136992193	0.0351458440956981	0.494402847410889
"C10orf71"	0	0.02	0.02	0.02	0	0	0	0	0.02	0	0.02	1	1	0
"C10orf82"	1.51	0.23	0.47	0.97	0.53	0.06	0.47	0.05	0.79	0.28	0.49	0.0758302121369581	0.116797319620843	0.456957890624718
"C10orf88"	7.07	7.63	9.04	7.48	6.8	5.27	5.24	5.08	7.81	5.6	0.42	0.00184742330260529	0.011280472876254	0.818022531644389
"C10orf90"	0.02	0	0	0	0.03	0	0	0	0.01	0.01	0	1	1	0
"C10orf95"	2.63	3.46	2.88	2.76	3.46	3.93	4.56	4.46	2.93	4.1	-0.38	0.0178740167283049	0.0463011532774896	-0.507075112717529
"C11orf16"	0	0.1	0.12	0.13	0.23	0.25	0.39	0.12	0.09	0.25	-0.19	1	1	0
"C11orf21"	0.01	0.09	0.07	0	0	0	0.04	0	0.04	0.01	0.05	1	1	0
"C11orf24"	18.82	25.76	26.77	25.42	12.98	10.61	8.35	9.36	24.19	10.33	1.15	5.13242110569534e-05	0.00153447726466869	3.23614547311326
"C11orf42"	0.74	0.58	1.43	0.73	0.2	1.13	0.83	0.63	0.87	0.7	0.14	0.474338123887725	0.522351002699102	0.0394852594207083
"C11orf52"	9.94	8.77	9.65	9.21	13.35	14.98	20.69	19.45	9.39	17.12	-0.8	0.000186055880131473	0.00283330594390872	-2.03816522183022
"C11orf54"	29.06	27.56	34.56	34.99	22.93	27.58	39.82	35.78	31.54	31.53	0	0.0657583378896218	0.105205343257887	0
"C11orf58"	212.67	205.59	247.31	245.46	194.37	184.05	194.87	179.89	227.75	188.3	0.27	0.00404060602043393	0.0189949394397171	0.464767763419483
"C11orf65"	4.04	3.97	5.02	3.68	3.66	1.53	2.81	1.75	4.18	2.44	0.59	0.00808956797658368	0.0291890103036229	0.905520571792208
"C11orf68"	25.62	26.63	31.03	29.43	21.04	25.01	23.79	25.57	28.18	23.85	0.23	0.0080325497842747	0.0290763198565834	0.353385929327712
"C11orf71"	2.74	2.59	3.53	4.72	2.96	5.3	8.03	6.04	3.39	5.58	-0.58	0.00669917108553429	0.0260796830471626	-0.918544660777843
"C11orf80"	26.03	20.37	24.6	21.61	22.1	17.72	28.05	21.67	23.15	22.38	0.05	0.32740925336373	0.374744958932703	0.0213132100283784
"C11orf86"	0	0	0	0	0	0.04	0	0	0	0.01	-0.02	1	1	0
"C11orf87"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C11orf91"	7.39	2.77	1.2	0.09	4.02	4.16	4.22	0	2.86	3.1	-0.09	1	1	0
"C11orf96"	1.38	1.7	0.71	1.21	3.26	0.98	0.46	0.73	1.25	1.36	-0.07	1	1	0
"C11orf97"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C11orf98"	155.4	158.96	151.6	181.27	127.35	132.68	123.77	123.83	161.81	126.91	0.35	0.00268637072235848	0.0144192615515644	0.644369943144754
"C12orf29"	42.05	39.97	41.09	40.37	44	41.9	40.57	36.51	40.87	40.74	0	0.0231950435739684	0.0540612664784683	0
"C12orf4"	6.43	7.23	9.15	9.34	6.09	5.98	7.79	7.2	8.04	6.77	0.22	0.0370335844537372	0.0714859579587546	0.252071436895895
"C12orf40"	0.17	0.19	0.06	0.01	0.12	0.15	0.17	0.2	0.11	0.16	-0.06	0.165068927383907	0.212352545650913	-0.0403765517030444
"C12orf42"	0.16	0.12	0	0.04	0.07	0.04	0	0	0.08	0.03	0.07	1	1	0
"C12orf43"	11.29	13.82	10.14	9.24	12.89	12.46	14.12	9.94	11.12	12.35	-0.14	0.0571898552172324	0.0951717324962293	-0.143008883467158
"C12orf50"	0	0.03	0	0	0	0.03	0	0.24	0.01	0.07	-0.08	1	1	0
"C12orf54"	1.12	0.3	0.07	0.18	1.54	0.37	0.82	0.99	0.41	0.93	-0.45	0.046613133637819	0.0828083420669154	-0.486866659690621
"C12orf56"	0.03	0.03	0.04	0.04	0	0	0.02	0.03	0.03	0.01	0.03	1	1	0
"C12orf57"	156.95	154.83	190.96	191.65	115.25	131.78	124.33	142.23	173.6	128.4	0.43	0.000439331176050193	0.00458371352271519	1.005676489251
"C12orf60"	2.56	2.02	4.09	3.27	1.42	1.21	1.97	1.83	2.98	1.61	0.61	0.00237651021656555	0.013303400808051	1.14438276775756
"C12orf71"	0.48	0.26	0.77	0.65	0.14	0.41	0.38	0.2	0.54	0.28	0.26	0.116109449688623	0.161261989511227	0.206041676503826
"C12orf75"	38.39	16.72	9.56	19.98	21.65	2.68	4.14	4.39	21.16	8.21	1.27	0.0158600745819672	0.0433466894757486	1.73106596301891
"C12orf76"	6.99	8.45	7.96	6.76	8.64	7.54	10.1	8.29	7.54	8.64	-0.17	0.0464291031777107	0.08264650907638	-0.184071832613689
"C13orf42"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C13orf46"	0.41	0.5	0.43	0.27	0.46	0.56	0.87	0.5	0.4	0.6	-0.19	0.0508931745375215	0.0878608544673354	-0.200678869712625
"C14orf119"	66.65	69.19	69.2	69.13	63.9	65.78	61.32	52.41	68.54	60.85	0.17	0.0113279659250036	0.0356434662332285	0.246163411659748
"C14orf132"	0.17	0.29	0.1	0.33	0.4	0.28	0.15	0.22	0.22	0.26	-0.05	0.244592315154886	0.292576667957493	-0.0266880155204701
"C14orf180"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C14orf28"	3.54	2.8	4.73	3.82	1.83	3.72	3.17	3.53	3.72	3.06	0.22	0.130975402192321	0.176610378321344	0.165656431413991
"C14orf39"	0.08	0.08	0	0	0.78	0	0.1	0	0.04	0.22	-0.23	1	1	0
"C14orf93"	12.69	11.47	11.28	12.52	12.43	11.13	20.76	20.23	11.99	16.14	-0.4	0.0476621354481271	0.0839120098352537	-0.430470350677304
"C15orf39"	14.03	12.77	12.53	15.7	18.02	20.36	25.16	29.89	13.76	23.36	-0.72	0.000127271842027988	0.0023382190271009	-1.89440266303224
"C15orf40"	26.26	18.64	26.75	25.56	17.2	25.95	31.39	39.49	24.3	28.5	-0.22	0.132501834924975	0.178227161394483	-0.164785744158584
"C15orf48"	1844.21	769.71	565.67	199.73	1712.75	148.99	104.54	95.37	844.83	515.41	0.71	0.0153255940421157	0.0425258969148951	0.97365602771013
"C15orf61"	1.18	1.57	2.41	2.14	1.46	2.65	2.9	2.06	1.83	2.27	-0.21	0.102990478613744	0.146998887468044	-0.174864049943337
"C15orf62"	1.79	1.75	2.12	2.11	1.97	3.27	4.34	3.09	1.94	3.17	-0.5	0.00425458513600298	0.0196555109619382	-0.853257830918999
"C16orf46"	0.64	0.63	1.08	1.14	1.14	0.9	0.84	1.74	0.87	1.16	-0.21	0.149115479115374	0.19560168343188	-0.148811756479675
"C16orf54"	0.46	0.51	0.32	0.31	0.37	0.31	0.31	0.35	0.4	0.34	0.07	0.129712962183379	0.175252381121776	0.052943525084954
"C16orf74"	11.27	6.44	9.11	9.16	15.48	9.13	11.32	10.56	9	11.62	-0.34	0.0826825441590257	0.124377157413905	-0.3077881868273
"C16orf78"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C16orf82"	0	0	0.02	0.02	0	0.04	0.08	0.02	0.01	0.03	-0.04	1	1	0
"C16orf86"	2.49	1.64	2.22	2.55	0.99	4.2	4.07	2.75	2.23	3	-0.31	1	1	0
"C16orf87"	5.1	5.75	5.23	5.2	5.13	3.94	3.33	3.45	5.32	3.96	0.35	0.0039722830637583	0.018766433423825	0.604316390146522
"C16orf89"	0.5	0.41	0.24	0.44	0.33	0.17	0.26	0.53	0.4	0.33	0.08	0.249009970924815	0.297118019729337	0.0421656806509412
"C16orf90"	0	0.41	0.06	0.12	0	0.55	0.35	0.38	0.15	0.32	-0.2	0.460692222612013	0.50856555427645	-0.0587306116847031
"C16orf92"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C16orf95"	2.46	3.87	2.99	2.54	3.9	3.4	2.76	2.84	2.97	3.22	-0.09	0.121452477569362	0.166905964212583	-0.0699775329580048
"C16orf96"	0.01	0.04	0.04	0.01	0.04	0.01	0.01	0.02	0.02	0.02	0.01	1	1	0
"C17orf100"	5.73	3.61	3.64	4.67	5.65	3.66	5.67	6.47	4.41	5.36	-0.23	0.177633482811595	0.225244370075497	-0.148889592716923
"C17orf107"	11.96	9.62	9.94	11.35	4.43	4.26	5.45	4.46	10.72	4.65	1.05	2.12463026594771e-06	0.000540958280294363	3.43017803855756
"C17orf113"	0.93	1.04	1.28	1.47	1.52	1.22	2.89	2.15	1.18	1.94	-0.43	0.00472866700119594	0.0209622963439705	-0.721781291785805
"C17orf114"	3.75	2.3	7.04	5.37	2.56	2.11	4.07	2.71	4.62	2.86	0.54	0.116292259051841	0.161423361932458	0.427698150462463
"C17orf49"	72.26	59.52	74.39	68.81	64.12	39.41	55.72	55.12	68.75	53.59	0.35	0.0287082050347809	0.0612167668079226	0.424595364059476
"C17orf50"	0	0.12	0.24	0.11	0.32	0.25	1.22	0.29	0.12	0.52	-0.45	0.0149491884459295	0.0419945167984937	-0.619563335173959
"C17orf58"	6.35	6.13	8.17	9.24	7.83	6.72	6.23	5.84	7.47	6.65	0.15	0.106769539741995	0.151081387089202	0.123118355480548
"C17orf67"	0.67	1.12	2.1	2.31	0.8	0.88	0.91	1.17	1.55	0.94	0.4	0.0385336394710349	0.073270541157523	0.454028240344364
"C17orf75"	29.46	31.29	33.47	40.45	24.16	22.15	27.19	24.01	33.67	24.38	0.45	0.00367419588057075	0.0178190034318556	0.787102464835335
"C17orf78"	0.02	0.15	0.07	0.06	0	0.16	0.05	0.13	0.07	0.09	-0.02	1	1	0
"C17orf80"	6.95	8.15	8.93	9.53	8.33	9.49	10.76	9.1	8.39	9.42	-0.15	0.0327570113508849	0.0662896175785663	-0.176783172959704
"C17orf97"	7.59	4.6	1.27	1.73	8.06	5.14	2.6	2.87	3.8	4.67	-0.24	0.18635250669061	0.234160683803071	-0.151316645359825
