"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"A1BG"	3.42	2.1	3.95	2.26	3.15	1.27	3.04	1.07	2.93	2.13	0.33	0.168685100992198	0.216018739698454	0.219617828767316
"A1CF"	0.04	0.08	0.11	0.1	0.04	0.08	0.04	0.07	0.08	0.06	0.03	0.164997548673917	0.212278019834267	0.0201928491659124
"A2M"	0.04	0.05	0.02	0	0.09	0.04	0.13	0.02	0.03	0.07	-0.06	0.15177426098219	0.198336795021925	-0.0421558025356953
"A2ML1"	8.74	5.74	2.89	5.89	9.06	6.29	3.23	12.82	5.81	7.85	-0.38	0.743907643592313	0.79309286565464	-0.0382568636006309
"A3GALT2"	0.04	0	0.05	0.11	0.09	0	0.27	0.3	0.05	0.17	-0.15	1	1	0
"A4GALT"	61.16	50.83	38.13	70.81	79.62	68.6	64.91	84.17	55.23	74.33	-0.42	0.0576721787695205	0.0957523153192734	-0.427917300662668
"A4GNT"	0	0.13	0.12	0.05	0	0.08	0	0.24	0.07	0.08	-0.01	1	1	0
"AAAS"	26.8	29.98	38.57	39.47	22.13	24.13	30.51	26.25	33.71	25.76	0.38	0.00116097539912655	0.00835711703174267	0.789618536079671
"AACS"	15.49	15.95	16.52	21.2	16.41	14.67	15.01	18.62	17.29	16.18	0.09	0.100311347309324	0.144152474157942	0.0757060109286883
"AADAC"	0.87	0.07	0	0.46	2.06	0	0.19	0.52	0.35	0.69	-0.32	1	1	0
"AADACL2"	0.14	0.23	0.26	0.09	0.11	0.11	0.24	0.17	0.18	0.15	0.03	0.340369191641563	0.387723196655629	0.0123443464589629
"AADACL3"	0.01	0.07	0.01	0.07	0.03	0	0	0	0.04	0.01	0.05	1	1	0
"AADACL4"	0	0	0.06	0	0.08	0.06	0.09	0	0.02	0.06	-0.06	1	1	0
"AADAT"	1.6	2.1	1.54	2.99	1.67	1.45	1.68	1.5	2.06	1.58	0.25	0.0931839622671301	0.136355397511023	0.216331916552227
"AAGAB"	44.65	56.29	46.7	56.13	51.85	63.23	62.83	59.91	50.94	59.46	-0.22	0.0219399900874868	0.0522840905035816	-0.281958697295816
"AAK1"	27.89	30.71	27.94	38.07	28.67	33.74	26.68	30.28	31.15	29.84	0.06	0.523932519905014	0.572215217878826	0.0145464357873452
"AAMDC"	35.08	33.61	41.8	45.43	40.93	40.48	57.68	51.11	38.98	47.55	-0.28	0.0160987616812985	0.0436217884859477	-0.380883029069762
"AAMP"	109.68	123.08	136.61	142.8	133.96	146.42	135.11	143.79	128.04	139.82	-0.13	0.015517802671832	0.0428283570056268	-0.177874916156603
"AANAT"	5.49	1.77	3.48	2.19	7.44	0.59	0.36	1.31	3.24	2.43	0.31	0.170760084464873	0.218198048677553	0.20495623265001
"AAR2"	22.06	21.27	26.01	26.1	20.45	23.11	25.27	20.98	23.86	22.45	0.08	0.0237025736117304	0.0547670999758161	0.100918420415813
"AARD"	0.38	0.27	0.45	0.39	0.31	0.19	0.3	0.36	0.37	0.29	0.09	0.149271830617252	0.195714710807636	0.0637538876610296
"AARS1"	132.85	154.1	222.75	248.51	101.69	112.72	128.12	108.58	189.55	112.78	0.74	0.000235298402235413	0.00315184339345526	1.85106217347486
"AARS2"	6.99	6.7	6.65	6.6	7.08	5.69	6.91	6.29	6.73	6.49	0.05	0.0312043061646715	0.0643269446303258	0.0595803538008056
"AARSD1"	26.81	27.48	35.39	29.57	23.15	23.36	28.45	25.25	29.81	25.05	0.24	0.0184010544517048	0.0470945274926415	0.318487093462725
"AASDH"	7.75	9.33	11.04	10.41	7.84	9.1	11.83	9.23	9.63	9.5	0.02	0.0536218146401433	0.0909111766630117	0.0208276544225385
"AASDHPPT"	28.6	29.63	31.66	32.61	30.49	36.76	43	44.67	30.63	38.73	-0.33	0.00451913619246484	0.0203986636563384	-0.557831433341466
"AASS"	3.73	6.15	7.35	8.07	7.77	12.88	14.52	12.65	6.33	11.95	-0.82	0.000109568216325074	0.00214504827966968	-2.18822160135943
"AATF"	40.19	38.05	48.64	55.03	29.78	33.61	35.89	33.33	45.48	33.15	0.44	0.0003140866520308	0.00374599958443413	1.06763020106144
"AATK"	1.14	1.6	2.03	1.35	0.85	1.77	2.21	1.24	1.53	1.52	0.01	0.486141667674467	0.534156912779922	0.00272331146821224
"ABAT"	5.95	8.63	5.51	8.88	14.52	21.4	18.33	27.68	7.24	20.48	-1.38	5.25827523295309e-05	0.00155444068965164	-3.87562766471461
"ABCA1"	8.3	6.01	5.97	3.78	12.74	7.76	6.96	6.52	6.02	8.49	-0.44	0.00174959704524558	0.0108793390422751	-0.863894895044818
"ABCA10"	0.46	0.51	0.64	0.51	1.3	1.15	1.75	1.02	0.53	1.3	-0.59	0.000464940872271207	0.00473519781269243	-1.37155050545218
"ABCA12"	6.85	8.29	2.74	4.45	4.91	1.55	1.06	0.97	5.58	2.12	1.08	0.00201037656067664	0.0119173129503723	2.07772738833855
"ABCA13"	0.68	0.67	0.89	1.12	2.38	7.95	8.49	8.8	0.84	6.91	-2.1	3.01052681081956e-06	0.000611230960299439	-6.74896877723991
"ABCA2"	10.47	14.75	12.52	15.37	13.22	17.94	19.23	18.49	13.28	17.22	-0.35	0.00547317021978172	0.0230091784525897	-0.57333461066966
"ABCA3"	5.27	4.44	5.43	4.03	3.4	2.4	1.8	1.61	4.79	2.3	0.81	3.31935113909896e-05	0.00129474638202739	2.33913038804159
"ABCA4"	0.08	0.08	0.08	0.07	0.06	0.06	0.05	0.03	0.08	0.05	0.04	0.0808399783628953	0.122376284852001	0.0364921094169644
"ABCA5"	7.57	8.91	10.25	9.95	9.99	12.52	18.72	14.78	9.17	14	-0.56	0.000559927023243554	0.00530552700415531	-1.27415202356121
"ABCA6"	0	0.01	0.01	0.02	0.19	0.1	0.06	0.48	0.01	0.21	-0.26	1	1	0
"ABCA7"	10.97	18.27	16.35	21	18.79	20.54	20.26	22.63	16.65	20.56	-0.29	0.0330748278858819	0.0667074527924532	-0.340989436312799
"ABCA8"	0	0.03	0	0.07	0.01	0.02	0.07	0.04	0.02	0.03	-0.01	1	1	0
"ABCA9"	2.05	1.7	2.19	2.26	2.66	2.63	3.09	3.43	2.05	2.95	-0.37	0.00589087786937444	0.0240666144011244	-0.598876450113846
"ABCB1"	0.1	0.15	0.04	0.18	0.26	0.5	0.07	0.44	0.12	0.31	-0.23	0.140138761950273	0.186011140683343	-0.168006040118838
"ABCB10"	8.17	10.93	10.95	11.3	9.37	11.66	11.57	12.03	10.34	11.16	-0.1	0.0309821823259444	0.0640918267851341	-0.119319734970792
"ABCB11"	3.12	3.55	3.49	3.94	2.25	2.92	3.36	1.03	3.52	2.39	0.42	0.0640769195794491	0.103404451419156	0.413893521325454
"ABCB4"	0.59	0.64	0.68	0.6	0.97	0.8	0.5	0.56	0.63	0.71	-0.07	0.167476912462111	0.214820065013966	-0.0467547609421026
"ABCB5"	0.1	0.16	0.13	0.17	0.11	0.13	0.07	0.1	0.14	0.1	0.05	0.15668218963709	0.203319773580855	0.0345910191302098
"ABCB6"	8.71	11.78	13.55	12.52	5.25	4.94	5.42	4.06	11.64	4.92	1.1	5.58994196369161e-05	0.00159121535053645	3.07809814422239
"ABCB7"	15.26	14.14	13.7	13.51	15.28	11.95	21.26	18.45	14.16	16.74	-0.23	0.238205376671426	0.286259902263636	-0.124945080707398
"ABCB8"	16.98	18.58	15.93	18.47	16.96	24.61	24.39	19.27	17.49	21.31	-0.27	0.0537837381376834	0.091087875790309	-0.280945644951655
"ABCB9"	5.8	6.28	7.77	8.77	5.32	6.49	6.09	5.87	7.15	5.94	0.23	0.0284802005273932	0.0609115899641552	0.279519014729371
"ABCC1"	18.44	17.87	18.5	18.37	22.43	17.14	20.25	18.32	18.3	19.54	-0.09	0.0256961395363354	0.0572343404562796	-0.111810898569348
"ABCC10"	9.88	10.65	9.68	11.64	12.53	10.84	14.03	13.67	10.46	12.77	-0.26	0.0155948488105076	0.0429484095119807	-0.355433757784536
"ABCC11"	0.08	0.12	0.15	0.27	0.08	0.13	0.08	0.13	0.16	0.11	0.06	0.1779875016187	0.225534652476546	0.0388072032653472
"ABCC12"	0.2	0.14	0.24	0.17	0.2	0.17	0.23	0.24	0.19	0.21	-0.03	0.127933700333721	0.173427341646039	-0.0228264729860832
"ABCC2"	0.35	0.26	0.36	0.29	0.16	0.56	0.57	0.48	0.32	0.44	-0.13	0.215306272962674	0.263106969555601	-0.0753827941809059
"ABCC3"	11.66	7.86	10.92	9.38	14.59	17.4	16.13	18.2	9.95	16.58	-0.68	0.000371413792632183	0.00412316324225854	-1.62164323992909
"ABCC4"	1.33	1.88	3.38	5.6	2.97	5.01	3.19	5.13	3.04	4.08	-0.33	0.0675945515635381	0.107383027719625	-0.31979123716457
"ABCC5"	38.04	33.22	28.12	35	45.85	31.44	38.57	32.48	33.59	37.09	-0.14	0.276181775728225	0.324254365594351	-0.0684759835321132
"ABCC6"	0.5	0.43	0.25	0.09	0.77	0.09	0.29	0.26	0.32	0.35	-0.04	1	1	0
"ABCC8"	0.19	0.18	0.19	0.05	0.06	0.08	0.15	0.14	0.15	0.11	0.05	0.676628719848226	0.72584247497728	0.00695788106355811
"ABCC9"	0.12	0.16	0.2	0.21	0.17	0.21	0.17	0.21	0.17	0.19	-0.02	0.123675826233349	0.16922651857505	-0.0154306316003617
"ABCD1"	8.16	8.91	8.16	10.1	8.67	9.98	9.64	8.22	8.83	9.13	-0.04	0.0536781579630847	0.090977389049308	-0.041642661243988
"ABCD2"	0.03	0	0	0.01	0.01	0.03	0	0.02	0.01	0.02	-0.01	1	1	0
"ABCD3"	46.11	45.08	42.37	48.37	59.4	75.79	74.96	91.77	45.48	75.48	-0.72	8.68122273564564e-05	0.00193136584264593	-1.95417752660578
"ABCD4"	33.96	31.99	46.7	50.4	35.98	44.43	49.59	53.36	40.76	45.84	-0.17	0.019708024269265	0.0489321911158567	-0.222768907238705
"ABCE1"	37.43	45.94	50.8	41.32	36.57	36.8	38.45	36.12	43.87	36.99	0.24	0.0126703281177541	0.0381924383553305	0.340325427282093
"ABCF1"	48.82	51.93	57.26	51.2	49.53	51.33	46.47	47.2	52.3	48.63	0.1	0.0159950003888697	0.0435234070732439	0.136127711479902
"ABCF2"	17.1	17.29	16.46	20.39	18.92	18.76	19.53	20	17.81	19.3	-0.11	0.0372060058825941	0.0716933575427345	-0.125897318828827
"ABCF2-H2BK1"	14.15	14	14.85	15.57	13.91	13.87	13.29	15.21	14.64	14.07	0.05	0.038224190362247	0.0729016635324914	0.0568631280733067
"ABCF3"	45.63	43.75	47.98	49.38	43.07	51.52	51.67	50.7	46.68	49.24	-0.08	0.0156576633945437	0.0430317913009924	-0.109296845999765
"ABCG1"	13.18	17.49	15.67	14.43	12.42	19.05	12.79	9.9	15.19	13.54	0.16	0.39534694960595	0.442934488749434	0.0565856803834597
"ABCG2"	0.45	0.24	0.38	0.42	0.46	0.7	0.53	0.42	0.37	0.53	-0.16	0.109410594683976	0.154031539077967	-0.129982455216686
"ABCG4"	0.11	0.15	0.12	0.22	0.19	0.11	0.18	0.35	0.15	0.21	-0.07	0.212964869993126	0.260751061638989	-0.0408641740277939
"ABCG5"	0.03	0.01	0.01	0.1	0	0.08	0.05	0.01	0.04	0.03	0	1	1	0
"ABCG8"	0.15	0.2	0.17	0.24	0.14	0.1	0.21	0.11	0.19	0.14	0.06	0.0964234959339318	0.139825583943877	0.0512648014969223
"ABHD1"	0.14	0.38	0.67	0.2	0.31	0.24	0.6	0.5	0.35	0.41	-0.07	1	1	0
"ABHD10"	24.95	34.79	41.32	32.82	20.44	20.62	24.51	24.37	33.47	22.49	0.55	0.000505909862728272	0.0049789857188457	1.26657251567191
"ABHD11"	30.13	28.29	32.64	37.18	22.14	25.31	29.11	26.27	32.06	25.71	0.31	0.00559420814585615	0.0232640067941215	0.506327800036216
"ABHD12"	136.22	169.03	155.79	197.5	111.16	151.98	124.89	160.21	164.63	137.06	0.26	0.0495873631334923	0.086257423077169	0.276692915318269
"ABHD12B"	3.5	2.43	4.45	3.29	3.12	2.55	3.92	1.93	3.42	2.88	0.19	0.210797427618626	0.258900505126245	0.111504749424975
"ABHD13"	5.58	6.33	8.12	7.04	7.21	8.39	9.77	8	6.77	8.34	-0.27	0.00618927548556887	0.0248535954659276	-0.433244909200205
"ABHD14A"	6.8	7.6	7.58	6.1	7.54	8.21	11.04	8.15	7.02	8.74	-0.28	0.0475125376261524	0.0837744799471063	-0.301528712655958
"ABHD14A-ACY1"	1.65	0.85	1.24	0.68	1.01	3.63	3.94	3.49	1.11	3.02	-0.93	0.02006547272727	0.0495082138906977	-1.21395014953995
"ABHD14B"	21.76	26.48	26.73	31.93	24.31	28.07	34.09	38.55	26.72	31.26	-0.22	0.00926056697963045	0.0316529816408934	-0.32990878231072
"ABHD15"	7.41	7.08	5.21	9.71	7.73	9.19	9.49	9.73	7.35	9.04	-0.26	0.103346041316201	0.147346514470515	-0.216231634597957
"ABHD16A"	26.82	28.39	25.38	28.46	36.86	38.12	46.83	47.26	27.26	42.27	-0.61	4.18661599787383e-05	0.00143269107268626	-1.73474694160627
"ABHD16B"	6.83	4.28	5	5.48	7.51	8.78	8.62	8.75	5.4	8.42	-0.56	0.00143797137080757	0.00957394182183394	-1.13058916092199
"ABHD17A"	50.96	52.37	50.47	58.99	45.76	52.85	50.96	48.51	53.2	49.52	0.1	0.0210262945774428	0.051002010786649	0.129241270122891
"ABHD17B"	12.43	12.25	15.12	16.08	13.7	18.59	16.45	15.85	13.97	16.15	-0.2	0.0256627912307227	0.0571870161445777	-0.248540512621953
"ABHD17C"	35.1	27.55	34.49	34.06	23.82	26.77	29.94	31.87	32.8	28.1	0.22	0.022290032183435	0.0528413347421091	0.280945768595132
"ABHD18"	5.92	6.96	9.49	7.38	7.26	9.63	8.88	9.02	7.44	8.7	-0.2	0.0397245320536875	0.074635975124912	-0.225410357743447
"ABHD2"	80.76	83.97	85.05	79.85	93.8	111.99	160.48	144.32	82.41	127.65	-0.63	0.000620945914339058	0.00563024250646547	-1.41716792622065
"ABHD3"	10.52	13.42	14.84	13.06	10.56	23.36	14.68	16.1	12.96	16.17	-0.3	0.288549332639708	0.336363887538799	-0.141957191036282
"ABHD4"	125.33	100.72	103.61	113.2	93.07	86.16	145.17	107.51	110.72	107.97	0.04	1	1	0
"ABHD5"	39.61	42.84	51.67	46.48	31.77	36.63	47.43	42.9	45.15	39.68	0.18	0.013363593697032	0.039328428430527	0.252952813388061
"ABHD6"	4.63	5.87	5.76	6.15	5.34	9.62	6.08	7.16	5.6	7.05	-0.29	0.0724669527910026	0.11283915138674	-0.27478665470582
"ABHD8"	15.31	14.68	19.81	22.19	15.11	14.19	14.95	12.94	18	14.3	0.31	0.0366970228247388	0.0710366026751654	0.35604052322728
"ABI1"	50.18	47.73	50.78	45.33	53.75	47.25	50.72	54.07	48.51	51.45	-0.08	0.0183413804261925	0.0469915732031179	-0.106238401219622
"ABI2"	28.57	27.91	32.29	29.06	27.69	19.14	29.27	21.75	29.46	24.46	0.26	0.0434790766556197	0.0790191922732688	0.286589527626771
"ABI3"	0	0	0	0.08	0	0.07	0.03	0	0.02	0.02	-0.01	1	1	0
"ABI3BP"	83.77	124.91	70.45	77.68	64.95	65.51	109.92	51.6	89.2	72.99	0.29	0.297439927447659	0.345325196343954	0.133913802449994
"ABITRAM"	23.12	28.82	27.54	23.81	16.34	16.3	22.97	15.25	25.82	17.72	0.52	0.00970788238417614	0.0325368643984298	0.773564637383953
"ABL1"	19.87	15.78	15.85	20.75	23.48	17.01	18.44	20.98	18.06	19.98	-0.14	0.430834743307234	0.478516657837754	-0.0448144114911306
"ABL2"	5.04	4.59	5.16	4.5	4.75	3.87	3.85	3.76	4.82	4.06	0.2	0.0160762728952446	0.0435898392175081	0.272122946577641
"ABLIM1"	12.84	12.93	16.96	11.24	10.65	14.45	23.66	27.97	13.49	19.19	-0.48	0.120194366369907	0.165595066112354	-0.374857251416142
"ABLIM2"	1.24	0.67	1.52	0.75	0.81	0.84	1.6	1.54	1.05	1.2	-0.1	1	1	0
"ABLIM3"	46.51	50.49	54.38	63.46	36.33	74.77	96.02	82.11	53.71	72.31	-0.42	0.0992921269351794	0.143031670784263	-0.354718471061489
"ABO"	20.03	17.76	13.43	11.39	29.81	28.17	25.64	30.8	15.65	28.61	-0.83	0.000167881633681472	0.00267842794915406	-2.13485962642674
"ABR"	30.08	24.05	25.51	28.8	37.96	21.6	28.83	28.27	27.11	29.16	-0.1	0.519620831205396	0.568017065397714	-0.0245638616231368
"ABRA"	0.09	0.05	0.02	0.04	0.07	0.05	0.24	0.1	0.05	0.11	-0.09	0.154899893211046	0.20148728693388	-0.0626177115859813
"ABRACL"	144	108.85	130.96	103.91	189.45	146.14	129.67	145.07	121.93	152.58	-0.32	0.0149904236779269	0.042069125009734	-0.440331686631546
"ABRAXAS1"	5.98	5.98	7.87	5.34	6.43	6.9	8.08	6.94	6.29	7.09	-0.15	0.0583037989688357	0.0964864000966601	-0.15233008452052
"ABRAXAS2"	16.6	16.87	17.99	18.35	15.07	15.88	14.6	14.72	17.45	15.07	0.2	0.00876125969627327	0.0305040241652779	0.303128572737261
"ABT1"	12.14	11.86	10.65	12.83	13.38	14.14	14.71	15.04	11.87	14.32	-0.25	0.00801743331190335	0.0290415792248064	-0.38424494280935
"ABTB1"	10.6	10.53	14.91	14.2	15.33	32.64	41.01	30.42	12.56	29.85	-1.19	0.000255174711306319	0.00328295679925147	-2.95564445026621
"ABTB2"	5.85	7.49	4.14	4.64	9.46	11.6	9.84	10.85	5.53	10.44	-0.81	0.00062219812030576	0.00563730560111952	-1.82163202119094
"ABTB3"	6.02	5.05	4.56	3.28	4.53	1.25	3.07	1.06	4.73	2.48	0.72	0.00899073452160568	0.0311313303702714	1.08489767020181
"ACAA1"	63.65	83.17	57.54	81.51	81.13	127.22	108.93	107.62	71.47	106.22	-0.57	0.00752487478312304	0.0279829619143416	-0.885270601610928
"ACAA2"	60.55	50.29	74.72	65.92	56.86	38.83	85.97	85.86	62.87	66.88	-0.09	1	1	0
"ACACA"	29.19	25.14	26.01	29.54	28.72	25.51	27.25	28.87	27.47	27.59	-0.01	0.0461897429175552	0.0823341555664551	-0.0108441996434027
"ACACB"	1.5	1.58	1.17	2.8	1.2	3.45	4.56	5.81	1.76	3.76	-0.78	0.0198699039167489	0.0492408187257995	-1.01998629304864
"ACAD10"	9.09	7.14	10.02	8.97	9.08	9.56	12.52	11.52	8.81	10.67	-0.25	0.0398434754347127	0.0747882405722206	-0.281541670908487
"ACAD11"	9.99	13.2	14.79	14	9.61	7.67	11.08	6.87	12.99	8.81	0.51	0.00604809324109017	0.0244745449638168	0.821755540714174
"ACAD8"	21.59	21.85	21.53	20.87	39.23	34.7	32.86	38.77	21.46	36.39	-0.74	1.17768454680242e-05	0.000907536297570351	-2.25118063705679
"ACAD9"	19.51	19.84	16.24	22.79	19.91	23.02	22.92	24.82	19.59	22.67	-0.2	0.0684968079753253	0.10838919513818	-0.193002801725109
"ACADL"	0.16	0.04	0.25	0.04	0.27	0.34	0.82	0.7	0.12	0.53	-0.45	0.006247242130245	0.0249794742320283	-0.721087518103158
"ACADM"	27.06	20.82	24.96	32.79	34.31	46.82	50.88	48.48	26.41	45.12	-0.75	0.000157022933202885	0.00259872854968608	-1.93892931178545
"ACADS"	11.87	11.99	13.24	13.97	15.8	13.88	15.07	16.31	12.77	15.26	-0.24	0.0123242869161224	0.0375174110988117	-0.342184113093932
"ACADSB"	5.52	8.67	8.29	8.39	11.78	12.34	14.01	12.66	7.72	12.7	-0.65	8.47341418455207e-05	0.00190685530703922	-1.76779346909536
"ACADVL"	260.91	287.3	281	329.87	334.67	321.94	310.26	332.56	289.77	324.86	-0.16	0.0156660144816168	0.0430317913009924	-0.21859369199953
"ACAN"	0.06	0.11	0.04	0.05	0	0.01	0.08	0.04	0.07	0.03	0.04	1	1	0
"ACAP1"	4.8	3.66	7.97	4.21	1.23	1.21	1.9	1.62	5.16	1.49	1.31	5.34633738733838e-05	0.00156872271369003	3.67383449792871
"ACAP2"	20.07	19.02	27.78	24.55	14.97	18	16.85	18.06	22.86	16.97	0.41	0.00417577560629251	0.0193974324077743	0.702024858647297
"ACAP3"	19.56	21.38	23.88	26.58	21.54	27.61	23.58	21.69	22.85	23.6	-0.04	0.096535460115313	0.139952814332286	-0.0341607345526665
"ACAT1"	12.42	19.51	17.96	17.03	16.22	22.36	19.2	15.52	16.73	18.33	-0.12	0.584021219794513	0.633154245977349	-0.02381885716446
"ACAT2"	51.03	45.21	34.05	44.05	42.45	39.52	34.1	44.29	43.58	40.09	0.12	0.723225571171145	0.772660995296948	0.01344132129879
"ACBD3"	72.57	82.32	82.07	76.06	53.22	40.53	39.63	40.67	78.25	43.51	0.83	1.15618679073617e-05	0.000907536297570351	2.52497287669883
"ACBD4"	20.23	25.82	25.33	30.87	18.61	22.5	25.28	17.87	25.56	21.06	0.27	0.0557562039228536	0.0934657996311105	0.277923764017644
"ACBD5"	41.51	45.66	41.37	45.96	44.99	48.32	41.35	46.4	43.62	45.27	-0.05	0.0387297435437573	0.073484102353576	-0.0566903303293968
"ACBD6"	34.21	31.83	32.5	33.34	34.24	24.49	29.49	26.91	32.97	28.78	0.19	0.0214960875511334	0.0516388132360502	0.244534511978064
"ACBD7"	1.11	0.97	0.94	1.1	0.96	1.22	1.28	1.53	1.03	1.25	-0.15	0.0624839650963366	0.10147858775831	-0.149043837799691
"ACCS"	2.91	4.3	3.81	4.7	6.97	11.94	12.64	12.27	3.93	10.95	-1.28	0.000114783371658706	0.00220702838611976	-3.39992586373181
"ACCSL"	0	0.06	0	0.03	0	0	0	0	0.02	0	0.03	1	1	0
"ACD"	12.44	11.9	18.09	16.73	10.62	10.6	13.2	10.59	14.79	11.25	0.37	0.010361163574943	0.0338146223266591	0.544231319762909
"ACE"	0.08	0.18	0.11	0.24	0.5	0.19	0.1	0.13	0.15	0.23	-0.09	0.71725022913079	0.766744234919662	-0.0103814532678607
"ACE2"	2.75	2.43	1.61	2.27	4.64	3.02	7.72	6.45	2.26	5.46	-0.98	0.0029585532241153	0.0153630661828566	-1.7772516565654
"ACER1"	0.17	0.03	0.06	0	0.03	0	0.04	0.06	0.06	0.03	0.04	1	1	0
"ACER2"	42.86	71.65	44.11	84.66	94.06	239.06	101.45	153.77	60.82	147.08	-1.26	0.00619244699115784	0.0248548101201164	-2.02178283341869
"ACER3"	7.45	9.84	6.95	7.7	10.71	12.08	8.69	12.05	7.98	10.88	-0.4	0.0221881187802707	0.0526867694141626	-0.511319372069204
"ACHE"	3.38	3.12	1.75	1.7	4.94	3.11	1.59	1.34	2.49	2.75	-0.1	0.143432415976854	0.189538265411905	-0.072230309820464
"ACIN1"	67.66	68.5	71.13	72.45	84.9	104.74	117.78	117.21	69.93	106.16	-0.6	2.86107122324217e-05	0.00124357539866947	-1.74319672684758
"ACKR1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ACKR2"	9.4	6.15	4.87	6.44	19.4	8.57	8.34	9.78	6.72	11.52	-0.7	0.0170649081982718	0.0451268692862803	-0.941895356480473
"ACKR3"	63.73	92.55	75.8	37.53	79.33	74.77	113	67.96	67.4	83.77	-0.31	0.22891127828366	0.276882494750277	-0.172888395198973
"ACKR4"	2.42	2.86	1.99	1.86	5.24	5.52	5	6.44	2.28	5.55	-1	5.15471589962382e-05	0.00153532726776343	-2.81379903684183
"ACLY"	88.28	78.54	70.63	75.23	76.25	56.61	54.6	58.47	78.17	61.48	0.34	0.00522578362997175	0.0223925679649115	0.560964673646567
"ACMSD"	0.7	0.49	0.15	0.7	0.25	0.74	0.5	1.03	0.51	0.63	-0.11	1	1	0
"ACO1"	25.52	27.42	24.98	29.23	27.27	25.19	23.2	24.96	26.79	25.16	0.09	0.0429479910792105	0.0784423217836883	0.0994904604270924
"ACO2"	64.97	66.81	54.54	57.91	65.04	71.62	64.98	66.74	61.06	67.1	-0.13	0.0241682108495072	0.0553568451059663	-0.163387726987079
"ACOD1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ACOT1"	1.18	1.54	2.47	1.48	2.86	2.15	5.19	4.16	1.67	3.59	-0.78	0.00186113268300819	0.0113260757648293	-1.51781801926828
"ACOT11"	4.37	5.54	4.83	6.41	5.18	9.02	9.39	9.85	5.29	8.36	-0.57	0.00155007578823829	0.0100614705563856	-1.13848296744352
"ACOT12"	0.05	0	0.02	0.25	0	0	0	0.02	0.08	0.01	0.1	1	1	0
"ACOT13"	10.95	12.49	12.5	13.67	12.21	9.77	10.23	9.73	12.4	10.49	0.22	0.0218029899773551	0.0520964831902983	0.282302150474326
"ACOT2"	12.19	9.29	6.26	11	14.66	16.19	13.63	20.24	9.69	16.18	-0.68	0.0107279284993242	0.0345927426657637	-0.993490202605515
"ACOT4"	2.2	1.19	1.74	2.9	3.71	2.23	2.75	8.2	2.01	4.22	-0.79	0.041664953288529	0.0769176649061769	-0.880039387872802
"ACOT6"	0.14	0.43	0.12	0	0.34	0.03	0.14	0.45	0.17	0.24	-0.08	1	1	0
"ACOT7"	33.52	44.23	23.26	27.45	30.83	23.19	12.02	13.52	32.12	19.89	0.66	0.0116810744108672	0.0362701496164337	0.950697430931416
"ACOT8"	32.09	30.64	29.36	34.3	28.22	29.78	27.7	28.81	31.6	28.63	0.14	0.0259447578829152	0.0575680338034084	0.173574604464916
"ACOT9"	40.86	40.85	43.92	35.95	38.97	31.87	35.93	29.82	40.39	34.15	0.24	0.00695369225944306	0.0266369779198176	0.37788361182994
"ACOX1"	54.41	62.72	63.58	73.6	89.83	92.02	78.62	98.95	63.58	89.86	-0.49	0.000733456928268204	0.00624169868983389	-1.08030162809085
"ACOX2"	0	0	0	0	0.03	0	0	0	0	0.01	-0.01	1	1	0
"ACOX3"	24.85	20.91	17.67	23.07	26.95	22.88	32.38	36.5	21.63	29.68	-0.44	0.0241036680935199	0.0552514677277534	-0.553368719496013
"ACOXL"	4.54	3.49	4.76	9.89	3.65	9.17	7.62	15.47	5.67	8.98	-0.58	0.0658667351730546	0.105336063361548	-0.566905291400265
"ACP1"	152.07	190.08	209.69	187.46	125.2	128.25	117.88	113.33	184.82	121.17	0.61	0.000132173791025579	0.00238729458252837	1.59947733237386
"ACP2"	21.05	23.48	17.02	22.71	31.03	34.15	31.65	38.89	21.06	33.93	-0.66	0.000541880199835873	0.00520957419890931	-1.50691052953401
"ACP3"	1.61	0.98	1.19	0.96	1.36	1.48	1.77	2.29	1.19	1.72	-0.32	0.0540407187496213	0.0913369150087282	-0.332593171581102
"ACP4"	0.24	0.18	0.27	0.3	0.36	0.07	0.34	0.07	0.25	0.21	0.05	0.329034156011344	0.376250140296637	0.0212261664728892
"ACP5"	16.16	20.89	9.69	16.58	13.82	8.68	4.2	6.32	15.83	8.26	0.86	0.014711207728846	0.0415365990355147	1.18814939661479
"ACP6"	33.04	28.02	31.06	37.44	31.1	24.34	29.85	41.89	32.39	31.79	0.03	1	1	0
"ACP7"	1.89	1.08	1.2	1.31	1.28	0.77	1.05	1.28	1.37	1.1	0.18	0.109926444438357	0.154592325336651	0.145946172641043
"ACR"	0.37	0.35	0.59	0.77	0.69	0.03	0.07	0.03	0.52	0.21	0.33	0.0240475939681512	0.0552007151928508	0.415158247487809
"ACRBP"	0.99	0.47	2.26	2.04	0.94	0.63	0.59	0.42	1.44	0.65	0.57	0.0997782837573273	0.143606516994219	0.480410735051946
"ACRV1"	0.07	0	0	0.02	0.05	0	0.02	0.07	0.02	0.04	-0.02	1	1	0
